#
# Listo de kajeroj de "La Brita Esperantisto"
# (nomata ankaŭ "The British Esperantist")
#
# Nenia kopirajto: Vi rajtas uzi ĉi tiun dosieron iel ajn.
#
# Linioj, kiuj komenciĝas per '#', estas komentoj.
# Ĉiu linio priskribas unu kajeron. La kampoj estas:
#
# 1: Identigilo: ([1-9][0-9]*[abj]?)
#    - Bazita sur la numero, ordita jene: 9 < 11 < 392 < 392j
#    - [ab] estas aldonita, kiam du kajeroj havis la saman numeron
#    - [j] estas aldonita ĉe eksterseria kajero
# 2: Jaro
# 3: Unua monato (specifita aŭ elpensita)
# 4: Lasta monato (specifita aŭ elpensita)
# 5: Specifitaj numeroj: (0|[1-9][0-9]*(-[1-9][0-9]*)?)
# 6: Suma nombro de paĝoj
# 7: Paĝnumeroj
#    - (x) signifas x nenumeritajn paĝojn
# 8: Kiel la kajero estis priskribita en la kajero mem
#    - La priskribo estas kopiita de la kovrilo aŭ la kolofono.
#    - "=" signifas, ke la kajero estis priskribita jene:
#      - Numero aŭ numeroj kiel en kampo 5
#      - Monato aŭ monatoj kiel en kampoj 3 kaj 4, Esperante aŭ angle
#      - Jaro
#
# Klarigo pri kampoj 3 kaj 4: La plej multaj kajeroj menciis monatojn
# sur kovrilo aŭ en kolofono. Kiam monatoj ne estis menciitaj (ekzemple
# ekde 2001), ĉi tiuj kampoj havas elpensitajn valorojn kaj kampo 8
# ne havas la valoron "=".
#
# La kajeroj estis proksimume A5-formataj ekde numero 315.
#
# Kelkaj jaroj/volumoj havis indekson aŭ titolpaĝojn, kiuj supozeble
# ne apartenas al specifa numero.
#
# Konfuzaj aferoj: nenumeritaj paĝoj, kiujn oni ne ĉiam inkluzivis, kiam
# oni bindis la volumojn; diversaj aldonoj; la "ora numero", kiun oni
# verŝajne ne sendis al abonantojn, do eble ne estis numero de la gazeto.
#
# En 1905 ĉiu numero havis ankaŭ paĝojn i-iv:
1 1905 01 01 1 12 1-12 =
2 1905 02 02 2 12 13-24 =
3 1905 03 03 3 12 25-36 =
4 1905 04 04 4 16 37-52 =
5 1905 05 05 5 16 53-68 =
6 1905 06 06 6 16 69-84 =
7 1905 07 07 7 16 85-100 =
8 1905 08 08 8 16 101-116 =
9 1905 09 10 9-10 32 117-148 =
11 1905 11 11 11 16 149-164 =
12 1905 12 12 12 16 165-180 =
# En 1906 ankaŭ "Supplement": No. 1 - No. 12, po 8 paĝoj:
13 1906 01 01 13 8 1-8 =
14 1906 02 02 14 12 9-20 =
15 1906 03 03 15 12 21-32 =
16 1906 04 04 16 12 33-44 =
17 1906 05 05 17 12 45-56 =
18 1906 06 06 18 12 57-68 =
19 1906 07 07 19 12 69-80 =
20 1906 08 08 20 12 81-92 =
21 1906 09 09 21 12 93-104 =
22 1906 10 10 22 12 105-116 =
23 1906 11 11 23 12 117-128 =
24 1906 12 12 24 12 129-140 =
# En 1907 ankaŭ ĉ. 8 romie numeritaj paĝoj en ĉiu numero:
25 1907 01 01 25 20 1-20 =
26 1907 02 02 26 20 21-40 =
27 1907 03 03 27 20 41-60 =
28 1907 04 04 28 20 61-80 =
29 1907 05 05 29 20 81-100 =
30 1907 06 06 30 20 101-120 =
31 1907 07 07 31 20 121-140 =
32 1907 08 08 32 20 141-160 =
33 1907 09 09 33 20 161-180 =
34 1907 10 10 34 20 181-200 =
35 1907 11 11 35 20 201-220 =
36 1907 12 12 36 20 221-240 =
37 1908 01 01 37 20 1-20 =
38 1908 02 02 38 20 21-40 =
39 1908 03 03 39 20 41-60 =
40 1908 04 04 40 20 61-80 =
41 1908 05 05 41 20 81-100 =
42 1908 06 06 42 20 101-120 =
43 1908 07 07 43 20 121-140 =
44 1908 08 08 44 20 141-160 =
45 1908 09 09 45 20 161-180 =
46 1908 10 10 46 20 181-200 =
47 1908 11 11 47 20 201-220 =
48 1908 12 12 48 20 221-240 =
# En 1909 ankaŭ ĉ. 8 romie numeritaj paĝoj en ĉiu numero:
49 1909 01 01 49 20 1-20 =
50 1909 02 02 50 20 21-40 =
51 1909 03 03 51 20 41-60 =
52 1909 04 04 52 20 61-80 =
53 1909 05 05 53 20 81-100 =
54 1909 06 06 54 20 101-120 =
55 1909 07 07 55 20 121-140 =
56 1909 08 08 56 20 141-160 =
57 1909 09 09 57 20 161-180 =
58 1909 10 10 58 20 181-200 =
59 1909 11 11 59 20 201-220 =
60 1909 12 12 60 20 221-240 =
61 1910 01 01 61 20 1-20 =
62 1910 02 02 62 20 21-40 =
63 1910 03 03 63 20 41-60 =
64 1910 04 04 64 20 61-80 =
65 1910 05 05 65 20 81-100 =
66 1910 06 06 66 20 101-120 =
67 1910 07 07 67 20 121-140 =
68 1910 08 08 68 20 141-160 =
69 1910 09 09 69 20 161-180 =
70 1910 10 10 70 20 181-200 =
71 1910 11 11 71 20 201-220 =
72 1910 12 12 72 20 221-240 =
# En 1911 ankaŭ ĉ. 8 romie numeritaj paĝoj en ĉiu numero:
73 1911 01 01 73 20 1-20 =
74 1911 02 02 74 20 21-40 =
75 1911 03 03 75 20 41-60 =
76 1911 04 04 76 20 61-80 =
77 1911 05 05 77 20 81-100 =
78 1911 06 06 78 20 101-120 =
79 1911 07 07 79 20 121-140 =
80 1911 08 08 80 20 141-160 =
81 1911 09 09 81 20 161-180 =
82 1911 10 10 82 20 181-200 =
83 1911 11 11 83 20 201-220 =
84 1911 12 12 84 20 221-240 =
# En 1912 ankaŭ ĉ. 8 romie numeritaj paĝoj en ĉiu numero:
85 1912 01 01 85 20 1-20 =
86 1912 02 02 86 20 21-40 =
87 1912 03 03 87 20 41-60 =
88 1912 04 04 88 20 61-80 =
89 1912 05 05 89 20 81-100 =
90 1912 06 06 90 20 101-120 =
91 1912 07 07 91 20 121-140 =
92 1912 08 08 92 20 141-160 =
93 1912 09 09 93 20 161-180 =
94 1912 10 10 94 20 181-200 =
95 1912 11 11 95 20 201-220 =
96 1912 12 12 96 20 221-240 =
# En 1913 ankaŭ ĉ. 8 romie numeritaj paĝoj en ĉiu numero:
97 1913 01 01 97 20 1-20 =
98 1913 02 02 98 20 21-40 =
99 1913 03 03 99 20 41-60 =
100 1913 04 04 100 20 61-80 =
101 1913 05 05 101 20 81-100 =
102 1913 06 06 102 20 101-120 =
103 1913 07 07 103 20 121-140 =
104 1913 08 08 104 20 141-160 =
105 1913 09 09 105 20 161-180 =
106 1913 10 10 106 20 181-200 =
107 1913 11 11 107 20 201-220 =
108 1913 12 12 108 20 221-240 =
# En 1914 ankaŭ ĉ. 8 romie numeritaj paĝoj en ĉiu numero:
109 1914 01 01 109 20 1-20 =
110 1914 02 02 110 20 21-40 =
111 1914 03 03 111 20 41-60 =
112 1914 04 04 112 20 61-80 =
113 1914 05 05 113 20 81-100 =
114 1914 06 06 114 20 101-120 =
115 1914 07 07 115 20 121-140 =
116 1914 08 08 116 20 141-160 =
117 1914 09 09 117 20 161-180 =
118 1914 10 10 118 20 181-200 =
119 1914 11 11 119 20 201-220 =
120 1914 12 12 120 20 221-240 =
# En 1915 ankaŭ ĉ. 8 romie numeritaj paĝoj en ĉiu numero:
121 1915 01 01 121 20 1-20 =
122 1915 02 02 122 20 21-40 =
123 1915 03 03 123 20 41-60 =
124 1915 04 04 124 20 61-80 =
125 1915 05 05 125 20 81-100 =
126 1915 06 06 126 20 101-120 =
127 1915 07 07 127 20 121-140 =
128 1915 08 08 128 20 141-160 =
129 1915 09 09 129 20 161-180 =
130 1915 10 10 130 16 181-196 =
131 1915 11 11 131 16 197-212 =
132 1915 12 12 132 16 213-228 =
# En 1916 ankaŭ sume ĉ. 64 nenumeritaj paĝoj:
133 1916 01 01 133 12 1-12 =
134 1916 02 02 134 16 13-28 =
135 1916 03 03 135 16 29-44 =
136 1916 04 04 136 16 45-60 =
137 1916 05 05 137 8 61-68 =
138 1916 06 06 138 8 69-76 =
139 1916 07 07 139 8 77-84 =
140 1916 08 08 140 8 85-92 =
141 1916 09 09 141 8 93-100 =
142 1916 10 10 142 8 101-108 =
143 1916 11 11 143 8 109-116 =
144 1916 12 12 144 8 117-124 =
145 1917 01 01 145 8 1-8 =
# Numero 146 havis 20-paĝan aldonon:
# "La Vort-Strukturo en Esperanto"
146 1917 02 02 146 8 9-16 =
147 1917 03 03 147 12 17-28 =
148 1917 04 04 148 8 29-36 =
149 1917 05 05 149 8 37-44 =
150 1917 06 06 150 12 45-56 =
151 1917 07 07 151 8 57-64 =
152 1917 08 08 152 8 65-72 =
153 1917 09 09 153 8 73-80 =
154 1917 10 10 154 8 81-88 =
155 1917 11 11 155 8 89-96 =
156 1917 12 12 156 8 97-104 =
157 1918 01 01 157 8 1-8 =
158 1918 02 02 158 8 9-16 =
159 1918 03 03 159 8 17-24 =
# En numero 160 "Supplement" numerita i-iv:
160 1918 04 04 160 16 (4),25-36 =
161 1918 05 05 161 8 37-44 =
162 1918 06 06 162 8 45-52 =
163 1918 07 07 163 8 53-60 =
164 1918 08 08 164 8 61-68 =
165 1918 09 09 165 8 69-76 =
166 1918 10 10 166 8 77-84 =
167 1918 11 11 167 8 85-92 =
168 1918 12 12 168 8 93-100 =
169 1919 01 01 169 8 1-8 =
170 1919 02 02 170 8 9-16 =
171 1919 03 03 171 8 17-24 =
172 1919 04 04 172 12 25-36 =
173 1919 05 05 173 8 37-44 =
174 1919 06 06 174 8 45-52 =
175 1919 07 07 175 8 53-60 =
176 1919 08 08 176 12 61-72 =
177 1919 09 09 177 8 73-80 =
178 1919 10 10 178 8 81-88 =
179 1919 11 11 179 8 89-96 =
180 1919 12 12 180 8 97-104 =
181 1920 01 01 181 16 1-16 =
182 1920 02 02 182 16 17-32 =
183 1920 03 03 183 16 33-48 =
184 1920 04 04 184 16 49-64 =
185 1920 05 05 185 16 65-80 =
186 1920 06 06 186 16 81-96 =
187 1920 07 08 187 16 97-112 =
188 1920 09 10 188 16 113-128 =
189 1920 11 12 189 16 129-144 =
# Ankaŭ romie numeritaj paĝoj dum 1921.
190 1921 01 01 190 8 1-8 =
191 1921 02 02 191 8 9-16 =
192 1921 03 03 192 8 17-24 =
193 1921 04 04 193 8 25-32 =
194 1921 05 05 194 8 33-40 =
195 1921 06 06 195 8 41-48 =
196 1921 07 07 196 8 49-56 =
197 1921 08 08 197 8 57-64 =
198 1921 09 09 198 8 65-72 =
199 1921 10 10 199 8 73-80 =
200 1921 11 11 200 8 81-88 =
201 1921 12 12 201 8 89-96 =
# Aperis ankaŭ "La Juna Studanto" dum 1922.
202 1922 01 01 202 8 1-8 =
203 1922 02 02 203 8 9-16 =
204 1922 03 03 204 16 17-32 =
205 1922 04 04 205 8 33-40 =
206 1922 05 05 206 12 41-52 =
207 1922 06 06 207 16 53-68 =
208 1922 07 07 208 8 69-76 =
209 1922 08 08 209 8 77-84 =
210 1922 09 09 210 8 85-92 =
211 1922 10 10 211 12 93-104 =
212 1922 11 11 212 8 105-112 =
213 1922 12 12 213 8 113-120 =
# Ankaŭ kvarpaĝa "supplement" (13-24) kaj i-iv dum 1923.
214 1923 01 01 214 16 1-16 =
215 1923 02 02 215 8 17-24 =
216 1923 03 03 216 16 25-40 =
217 1923 04 04 217 12 41-52 =
218 1923 05 05 218 16 53-68 =
219 1923 06 06 219 20 69-88 =
220 1923 07 07 220 8 89-96 =
221 1923 08 08 221 8 97-104 =
222 1923 09 09 222 12 105-116 =
223 1923 10 10 223 8 117-124 =
224 1923 11 11 224 8 125-132 =
225 1923 12 12 225 8 133-140 =
226 1924 01 01 226 4 1-4 =
227 1924 02 02 227 4 5-8 =
228 1924 03 03 228 12 9-20 =
229 1924 04 04 229 4 21-24 =
230 1924 05 05 230 4 25-28 =
231 1924 06 06 231 4 29-32 =
232 1924 07 07 232 4 33-36 =
233 1924 08 08 233 4 37-40 =
# Nur ses paĝoj en numero 234:
234 1924 09 09 234 6 41-46 =
235 1924 10 10 235 4 47-50 =
236 1924 11 11 236 4 51-54 =
237 1924 12 12 237 4 55-58 =
238 1925 01 01 238 4 59-62 =
239 1925 02 02 239 4 63-66 =
240 1925 03 03 240 12 67-78 =
241 1925 04 04 241 4 79-82 =
242 1925 05 05 242 4 83-86 =
243 1925 06 06 243 4 87-90 =
244 1925 07 07 244 4 91-94 =
245 1925 08 08 245 4 95-98 =
246 1925 09 09 246 4 99-102 =
247 1925 10 10 247 4 103-106 =
248 1925 11 11 248 4 107-110 =
249 1925 12 12 249 4 111-114 =
250 1926 01 01 250 4 115-118 =
251 1926 02 02 251 4 119-122 =
252 1926 03 03 252 8 123-130 =
253 1926 04 04 253 4 131-134 =
254 1926 05 05 254 4 135-138 =
255 1926 06 06 255 4 139-142 =
256 1926 07 07 256 4 143-146 =
257 1926 08 08 257 16 147-162 =
258 1926 09 09 258 4 163-166 =
259 1926 10 10 259 4 167-170 =
260 1926 11 11 260 4 171-174 =
261 1926 12 12 261 8 175-182 =
262 1927 01 01 262 4 183-186 =
263 1927 02 02 263 12 187-198 =
264 1927 03 03 264 4 199-202 =
265 1927 04 04 265 4 203-206 =
266 1927 05 05 266 8 207-214 =
# Sur paĝo 215: "DO NOT FAIL TO READ OUR INSET!"
267 1927 06 06 267 4 215-218 =
268 1927 07 07 268 4 219-222 =
269 1927 08 08 269 4 223-226 =
270 1927 09 09 270 4 227-230 =
271 1927 10 10 271 4 231-234 =
272 1927 11 11 272 4 235-238 =
273 1927 12 12 273 4 239-242 =
274 1928 01 01 274 4 1-4 =
275 1928 02 02 275 4 5-8 =
276 1928 03 03 276 12 9-20 =
277 1928 04 04 277 4 21-24 =
278 1928 05 05 278 4 25-28 =
279 1928 06 06 279 4 29-32 =
280 1928 07 07 280 4 33-36 =
281 1928 08 08 281 4 37-40 =
282 1928 09 09 282 4 41-44 =
283 1928 10 10 283 4 45-48 =
284 1928 11 11 284 4 49-52 =
285 1928 12 12 285 4 53-56 =
286 1929 01 01 286 4 1-4 =
287 1929 02 02 287 4 5-8 =
288 1929 03 03 288 12 9-20 =
289 1929 04 04 289 4 21-24 =
290 1929 05 06 290 4 25-28 =
291 1929 07 07 291 4 29-32 =
# Oni ne uzis la paĝonumerojn 33-36.
292 1929 08 08 292 4 37-40 =
293 1929 09 09 293 4 41-44 =
294 1929 10 10 294 4 45-48 =
295 1929 11 11 295 4 49-52 =
296 1929 12 12 296 4 53-56 =
297 1930 01 01 297 4 1-4 =
298 1930 02 02 298 4 5-8 =
299 1930 03 03 299 12 9-20 =
300 1930 04 04 300 4 21-24 =
301 1930 05 05 301 4 25-28 =
302 1930 06 06 302 4 29-32 =
303 1930 07 07 303 4 33-36 =
304 1930 08 08 304 4 37-40 =
305 1930 09 09 305 4 41-44 =
306 1930 10 10 306 4 45-48 =
307 1930 11 11 307 4 49-52 =
308 1930 12 12 308 4 53-56 =
309 1931 01 01 309 4 1-4 =
310 1931 02 02 310 4 5-8 =
311 1931 03 03 311 12 9-20 =
312 1931 04 04 312 4 21-24 =
313 1931 05 05 313 4 25-28 =
314 1931 06 06 314 8 29-36 =
315 1931 07 07 315 28 1-28 =
316 1931 08 08 316 16 29-44 =
317 1931 09 09 317 24 45-68 =
318 1931 10 10 318 16 69-84 =
319 1931 11 11 319 16 85-100 =
320 1931 12 12 320 16 101-116 =
321 1932 01 01 321 12 117-128 =
322 1932 02 02 322 12 129-140 =
323 1932 03 03 323 20 141-160 =
324 1932 04 04 324 16 161-176 =
325 1932 05 05 325 16 177-192 =
326 1932 06 06 326 16 193-208 =
327 1932 07 07 327 16 209-224 =
328 1932 08 08 328 16 225-240 =
329 1932 09 09 329 20 241-260 =
330 1932 10 10 330 16 261-276 =
331 1932 11 11 331 16 277-292 =
332 1932 12 12 332 16 293-308 =
333 1933 01 01 333 20 1-20 =
334 1933 02 02 334 20 21-40 =
335 1933 03 03 335 24 41-64 =
336 1933 04 04 336 16 65-80 =
337 1933 05 05 337 16 81-96 =
338 1933 06 06 338 16 97-112 =
339 1933 07 07 339 16 113-128 =
340 1933 08 08 340 16 129-144 =
